Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),1.806E+14,1.789E+14,1.805E+14,1.847E+14,1.889E+14,1.933E+14,1.977E+14,2.023E+14,2.069E+14,2.117E+14,2.165E+14,2.215E+14,2.266E+14,2.318E+14,2.372E+14,2.426E+14,2.482E+14,2.539E+14,2.597E+14,2.657E+14,2.718E+14,2.781E+14,2.845E+14,2.910E+14,2.977E+14,3.046E+14,3.116E+14,3.187E+14,3.261E+14,3.336E+14,3.412E+14,3.491E+14,,
coal (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
natural gas (BTU),1.936E+13,1.902E+13,1.896E+13,1.939E+13,1.984E+13,2.030E+13,2.076E+13,2.124E+13,2.173E+13,2.223E+13,2.274E+13,2.326E+13,2.380E+13,2.435E+13,2.491E+13,2.548E+13,2.606E+13,2.666E+13,2.728E+13,2.791E+13,2.855E+13,2.920E+13,2.988E+13,3.056E+13,3.127E+13,3.198E+13,3.272E+13,3.347E+13,3.424E+13,3.503E+13,3.584E+13,3.666E+13,,
petroleum diesel (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heat (BTU),1.786E+12,1.719E+12,1.732E+12,1.758E+12,1.784E+12,1.811E+12,1.838E+12,1.866E+12,1.894E+12,1.922E+12,1.951E+12,1.980E+12,2.010E+12,2.040E+12,2.071E+12,2.102E+12,2.133E+12,2.165E+12,2.198E+12,2.231E+12,2.264E+12,2.298E+12,2.333E+12,2.368E+12,2.403E+12,2.439E+12,2.476E+12,2.513E+12,2.551E+12,2.589E+12,2.628E+12,2.667E+12,,
biomass (BTU),2.083E+11,2.222E+11,2.384E+11,2.415E+11,2.446E+11,2.478E+11,2.511E+11,2.543E+11,2.576E+11,2.610E+11,2.644E+11,2.678E+11,2.713E+11,2.748E+11,2.784E+11,2.820E+11,2.857E+11,2.894E+11,2.931E+11,2.970E+11,3.008E+11,3.047E+11,3.087E+11,3.127E+11,3.168E+11,3.209E+11,3.250E+11,3.293E+11,3.336E+11,3.379E+11,3.423E+11,3.467E+11,,
kerosene (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
heavy or residual fuel oil (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
LPG propane or butane (BTU),3.180E+11,2.986E+11,2.939E+11,2.831E+11,2.726E+11,2.625E+11,2.528E+11,2.434E+11,2.344E+11,2.258E+11,2.174E+11,2.094E+11,2.016E+11,1.942E+11,1.870E+11,1.801E+11,1.734E+11,1.670E+11,1.608E+11,1.549E+11,1.491E+11,1.436E+11,1.383E+11,1.332E+11,1.282E+11,1.235E+11,1.189E+11,1.145E+11,1.103E+11,1.062E+11,1.023E+11,9.850E+10,,
hydrogen (BTU),0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,,
